AREA_TITLE;OCC_CODE;OCC_TITLE;H_MEAN;A_MEAN
Alabama;17-2199;Engineers, All Other;65.55;136,340
Alabama;17-3011;Architectural and Civil Drafters;27.11;56,400
Alabama;17-3012;Electrical and Electronics Drafters;31.14;64,780
Alabama;17-3013;Mechanical Drafters;28.73;59,760
Alabama;17-3021;Aerospace Engineering and Operations Technologists and Technicians;36.33;75,560
Alabama;17-3022;Civil Engineering Technologists and Technicians;24.79;51,550
Alabama;17-3023;Electrical and Electronic Engineering Technologists and Technicians;33.59;69,860
Alabama;17-3024;Electro-Mechanical and Mechatronics Technologists and Technicians;31.82;66,180
Alabama;17-3025;Environmental Engineering Technologists and Technicians;28.67;59,620
Alabama;17-3026;Industrial Engineering Technologists and Technicians;28.68;59,650
Alabama;17-3027;Mechanical Engineering Technologists and Technicians;30.68;63,820
Alabama;17-3029;Engineering Technologists and Technicians, Except Drafters, All Other;32.82;68,270
Alabama;17-3031;Surveying and Mapping Technicians;23.56;49,000
Alabama;19-0000;Life, Physical, and Social Science Occupations;35.13;73,070
Alabama;19-1012;Food Scientists and Technologists;33.95;70,620
Alabama;19-1013;Soil and Plant Scientists;44.26;92,060
Alabama;19-1021;Biochemists and Biophysicists;30.26;62,930
Alabama;19-1022;Microbiologists;32.46;67,530
Alabama;19-1023;Zoologists and Wildlife Biologists;32.02;66,610
Alabama;19-1029;Biological Scientists, All Other;38.52;80,120
Alabama;19-1031;Conservation Scientists;36.32;75,550
Alabama;19-1032;Foresters;30.03;62,470
Alabama;19-1041;Epidemiologists;33.93;70,580
Alabama;19-1042;Medical Scientists, Except Epidemiologists;35.23;73,280
Alabama;19-1099;Life Scientists, All Other;48.75;101,410
Alabama;19-2012;Physicists;62.82;130,670
Alabama;19-2021;Atmospheric and Space Scientists;40.74;84,740
Alabama;19-2031;Chemists;43.33;90,130
Alabama;19-2041;Environmental Scientists and Specialists, Including Health;34.58;71,930
Alabama;19-2042;Geoscientists, Except Hydrologists and Geographers;38.66;80,410
Alabama;19-2043;Hydrologists;42.43;88,260
Alabama;19-2099;Physical Scientists, All Other;52.94;110,110
Alabama;19-3011;Economists;52.24;108,660
Alabama;19-3033;Clinical and Counseling Psychologists;44.46;92,470
Alabama;19-3034;School Psychologists;32.32;67,230
Alabama;19-3039;Psychologists, All Other;55.10;114,600
Alabama;19-3051;Urban and Regional Planners;32.52;67,650
Alabama;19-3091;Anthropologists and Archeologists;29.57;61,500
Alabama;19-3099;Social Scientists and Related Workers, All Other;46.12;95,930
Alabama;19-4012;Agricultural Technicians;20.58;42,810
Alabama;19-4021;Biological Technicians;21.55;44,820
Alabama;19-4031;Chemical Technicians;27.96;58,150
Alabama;19-4042;Environmental Science and Protection Technicians, Including Health;25.98;54,040
Alabama;19-4043;Geological Technicians, Except Hydrologic Technicians;18.10;37,640
Alabama;19-4051;Nuclear Technicians;*;*
Alabama;19-4071;Forest and Conservation Technicians;25.69;53,430
Alabama;19-4092;Forensic Science Technicians;27.68;57,570
Alabama;19-4099;Life, Physical, and Social Science Technicians, All Other;23.70;49,300
Alabama;19-5011;Occupational Health and Safety Specialists;36.76;76,450
Alabama;19-5012;Occupational Health and Safety Technicians;27.23;56,640
Alabama;21-0000;Community and Social Service Occupations;23.81;49,530
Alabama;21-1012;Educational, Guidance, and Career Counselors and Advisors;28.45;59,170
Alabama;21-1013;Marriage and Family Therapists;26.06;54,200
Alabama;21-1015;Rehabilitation Counselors;23.18;48,220
Alabama;21-1018;Substance Abuse, Behavioral Disorder, and Mental Health Counselors;23.03;47,900
Alabama;21-1021;Child, Family, and School Social Workers;22.91;47,650
Alabama;21-1022;Healthcare Social Workers;26.27;54,650
Alabama;21-1023;Mental Health and Substance Abuse Social Workers;19.15;39,830
Alabama;21-1029;Social Workers, All Other;38.53;80,140
Alabama;21-1091;Health Education Specialists;27.27;56,720
Alabama;21-1092;Probation Officers and Correctional Treatment Specialists;26.34;54,790
Alabama;21-1093;Social and Human Service Assistants;15.70;32,660
Alabama;21-1094;Community Health Workers;21.06;43,800
Alabama;21-1099;Community and Social Service Specialists, All Other;18.44;38,360
Alabama;21-2011;Clergy;23.05;47,930
Alabama;21-2021;Directors, Religious Activities and Education;28.56;59,400
Alabama;23-0000;Legal Occupations;48.19;100,230
Alabama;23-1011;Lawyers;65.23;135,680
Alabama;23-1021;Administrative Law Judges, Adjudicators, and Hearing Officers;*;*
Alabama;23-1023;Judges, Magistrate Judges, and Magistrates;30.63;63,720
Alabama;23-2011;Paralegals and Legal Assistants;25.70;53,450
Alabama;23-2093;Title Examiners, Abstractors, and Searchers;27.54;57,290
Alabama;23-2099;Legal Support Workers, All Other;28.55;59,380
Alabama;25-0000;Educational Instruction and Library Occupations;26.81;55,770
Alabama;25-1011;Business Teachers, Postsecondary;*;101,560
Alabama;25-1021;Computer Science Teachers, Postsecondary;*;99,660
Alabama;25-1022;Mathematical Science Teachers, Postsecondary;*;76,840
Alabama;25-1031;Architecture Teachers, Postsecondary;*;120,590
Alabama;25-1032;Engineering Teachers, Postsecondary;*;124,790
Alabama;25-1041;Agricultural Sciences Teachers, Postsecondary;*;104,480
Alabama;25-1042;Biological Science Teachers, Postsecondary;*;93,180
Alabama;25-1051;Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary;*;89,820
Alabama;25-1052;Chemistry Teachers, Postsecondary;*;89,340
Alabama;25-1053;Environmental Science Teachers, Postsecondary;*;69,900
Alabama;25-1054;Physics Teachers, Postsecondary;*;96,040
Alabama;25-1061;Anthropology and Archeology Teachers, Postsecondary;*;77,710
Alabama;25-1062;Area, Ethnic, and Cultural Studies Teachers, Postsecondary;*;77,670
Alabama;25-1063;Economics Teachers, Postsecondary;*;134,170
Alabama;25-1065;Political Science Teachers, Postsecondary;*;86,310
Alabama;25-1066;Psychology Teachers, Postsecondary;*;85,790
Alabama;25-1067;Sociology Teachers, Postsecondary;*;75,630
Alabama;25-1072;Nursing Instructors and Teachers, Postsecondary;*;87,360
Alabama;25-1081;Education Teachers, Postsecondary;*;76,830
Alabama;25-1082;Library Science Teachers, Postsecondary;*;75,130
Alabama;25-1111;Criminal Justice and Law Enforcement Teachers, Postsecondary;*;71,060
Alabama;25-1112;Law Teachers, Postsecondary;*;100,800
Alabama;25-1113;Social Work Teachers, Postsecondary;*;78,240
Alabama;25-1121;Art, Drama, and Music Teachers, Postsecondary;*;69,820
Alabama;25-1122;Communications Teachers, Postsecondary;*;72,260
Alabama;25-1123;English Language and Literature Teachers, Postsecondary;*;68,790
Alabama;25-1124;Foreign Language and Literature Teachers, Postsecondary;*;72,950
Alabama;25-1125;History Teachers, Postsecondary;*;73,890
Alabama;25-1126;Philosophy and Religion Teachers, Postsecondary;*;66,910
Alabama;25-1192;Family and Consumer Sciences Teachers, Postsecondary;*;69,630
Alabama;25-1193;Recreation and Fitness Studies Teachers, Postsecondary;*;76,290
Alabama;25-1194;Career/Technical Education Teachers, Postsecondary;29.10;60,540
Alabama;25-1199;Postsecondary Teachers, All Other;*;78,510
Alabama;25-2011;Preschool Teachers, Except Special Education;12.51;26,020
Alabama;25-2012;Kindergarten Teachers, Except Special Education;*;52,490
Alabama;25-2021;Elementary School Teachers, Except Special Education;*;56,260
Alabama;25-2022;Middle School Teachers, Except Special and Career/Technical Education;*;57,550
Alabama;25-2023;Career/Technical Education Teachers, Middle School;*;49,280
Alabama;25-2031;Secondary School Teachers, Except Special and Career/Technical Education;*;58,460
Alabama;25-2032;Career/Technical Education Teachers, Secondary School;*;72,130
Alabama;25-2051;Special Education Teachers, Preschool;*;45,560
Alabama;25-2052;Special Education Teachers, Kindergarten and Elementary School;*;58,080
Alabama;25-2057;Special Education Teachers, Middle School;*;57,580
Alabama;25-2058;Special Education Teachers, Secondary School;*;58,820
Alabama;25-2059;Special Education Teachers, All Other;*;41,480
Alabama;25-3011;Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors;20.81;43,290
Alabama;25-3021;Self-Enrichment Teachers;21.58;44,890
Alabama;25-3031;Substitute Teachers, Short-Term;11.75;24,440
Alabama;25-3041;Tutors;16.61;34,540
Alabama;25-3099;Teachers and Instructors, All Other;*;55,070
Alabama;25-4011;Archivists;28.12;58,480
Alabama;25-4012;Curators;26.98;56,120
Alabama;25-4013;Museum Technicians and Conservators;22.94;47,720
Alabama;25-4022;Librarians and Media Collections Specialists;28.03;58,300
Alabama;25-4031;Library Technicians;18.35;38,170
Alabama;25-9021;Farm and Home Management Educators;30.52;63,480
Alabama;25-9031;Instructional Coordinators;34.07;70,870
Alabama;25-9044;Teaching Assistants, Postsecondary;*;27,060
Alabama;25-9045;Teaching Assistants, Except Postsecondary;*;23,740
Alabama;25-9099;Educational Instruction and Library Workers, All Other;19.76;41,100
Alabama;27-0000;Arts, Design, Entertainment, Sports, and Media Occupations;26.49;55,100
Alabama;27-1011;Art Directors;41.88;87,110
Alabama;27-1012;Craft Artists;15.49;32,230
Alabama;27-1014;Special Effects Artists and Animators;32.16;66,900
Alabama;27-1021;Commercial and Industrial Designers;34.79;72,370
Alabama;27-1023;Floral Designers;14.74;30,660
Alabama;27-1024;Graphic Designers;25.02;52,040
Alabama;27-1025;Interior Designers;29.25;60,840
Alabama;27-1026;Merchandise Displayers and Window Trimmers;17.81;37,030
Alabama;27-1027;Set and Exhibit Designers;22.77;47,360
Alabama;27-2012;Producers and Directors;30.13;62,660
Alabama;27-2021;Athletes and Sports Competitors;*;*
Alabama;27-2022;Coaches and Scouts;*;54,840
Alabama;27-2041;Music Directors and Composers;21.37;44,450
Alabama;27-2042;Musicians and Singers;13.71;*
Alabama;27-3011;Broadcast Announcers and Radio Disc Jockeys;19.93;41,460
Alabama;27-3023;News Analysts, Reporters, and Journalists;25.35;52,720
Alabama;27-3031;Public Relations Specialists;32.03;66,620
Alabama;27-3041;Editors;30.91;64,290
Alabama;27-3042;Technical Writers;38.94;81,000
Alabama;27-3043;Writers and Authors;31.95;66,460
Alabama;27-3091;Interpreters and Translators;26.14;54,380
Alabama;27-3092;Court Reporters and Simultaneous Captioners;27.69;57,590
Alabama;27-4011;Audio and Video Technicians;24.77;51,520
Alabama;27-4012;Broadcast Technicians;21.65;45,030
Alabama;27-4014;Sound Engineering Technicians;*;*
Alabama;27-4021;Photographers;18.67;38,840
Alabama;27-4031;Camera Operators, Television, Video, and Film;31.61;65,740
Alabama;27-4032;Film and Video Editors;26.12;54,320
Alabama;27-4099;Media and Communication Equipment Workers, All Other;44.89;93,370
Alabama;29-0000;Healthcare Practitioners and Technical Occupations;37.29;77,570
Alabama;29-1011;Chiropractors;34.88;72,540
Alabama;29-1021;Dentists, General;86.06;179,000
Alabama;29-1023;Orthodontists;131.69;273,910
Alabama;29-1029;Dentists, All Other Specialists;99.01;205,930
Alabama;29-1031;Dietitians and Nutritionists;30.92;64,320
Alabama;29-1041;Optometrists;55.76;115,970
Alabama;29-1051;Pharmacists;61.04;126,960
Alabama;29-1071;Physician Assistants;46.26;96,210
Alabama;29-1081;Podiatrists;62.29;129,560
Alabama;29-1122;Occupational Therapists;45.52;94,680
Alabama;29-1123;Physical Therapists;46.61;96,950
Alabama;29-1124;Radiation Therapists;40.18;83,580
Alabama;29-1125;Recreational Therapists;26.08;54,250
Alabama;29-1126;Respiratory Therapists;29.58;61,520
Alabama;29-1127;Speech-Language Pathologists;36.31;75,510
Alabama;29-1128;Exercise Physiologists;24.26;50,460
Alabama;29-1129;Therapists, All Other;42.05;87,470
Alabama;29-1131;Veterinarians;53.38;111,030
Alabama;29-1141;Registered Nurses;34.31;71,370
Alabama;29-1151;Nurse Anesthetists;83.35;173,370
Alabama;29-1171;Nurse Practitioners;52.89;110,020
Alabama;29-1181;Audiologists;40.75;84,760
Alabama;29-1211;Anesthesiologists;177.64;369,500
Alabama;29-1212;Cardiologists;213.23;443,520
Alabama;29-1213;Dermatologists;198.47;412,820
Alabama;29-1215;Family Medicine Physicians;111.92;232,800
Alabama;29-1217;Neurologists;*;*
Alabama;29-1218;Obstetricians and Gynecologists;98.93;205,780
Alabama;29-1221;Pediatricians, General;94.50;196,560
Alabama;29-1222;Physicians, Pathologists;100.12;208,240
Alabama;29-1223;Psychiatrists;89.65;186,460
Alabama;29-1224;Radiologists;120.06;249,730
Alabama;29-1229;Physicians, All Other;122.90;255,630
Alabama;29-1241;Ophthalmologists, Except Pediatric;100.49;209,010
Alabama;29-1242;Orthopedic Surgeons, Except Pediatric;126.50;263,130
Alabama;29-1249;Surgeons, All Other;109.52;227,800
Alabama;29-1292;Dental Hygienists;26.18;54,460
Alabama;29-1299;Healthcare Diagnosing or Treating Practitioners, All Other;47.02;97,800
Alabama;29-2010;Clinical Laboratory Technologists and Technicians;23.90;49,700
Alabama;29-2031;Cardiovascular Technologists and Technicians;23.61;49,100
Alabama;29-2032;Diagnostic Medical Sonographers;31.26;65,020
Alabama;29-2033;Nuclear Medicine Technologists;35.20;73,210
Alabama;29-2034;Radiologic Technologists and Technicians;27.24;56,670
Alabama;29-2035;Magnetic Resonance Imaging Technologists;33.19;69,040
Alabama;29-2042;Emergency Medical Technicians;18.12;37,690
Alabama;29-2043;Paramedics;21.66;45,060
Alabama;29-2051;Dietetic Technicians;19.73;41,040
Alabama;29-2052;Pharmacy Technicians;17.80;37,030
Alabama;29-2053;Psychiatric Technicians;15.60;32,450
Alabama;29-2055;Surgical Technologists;22.14;46,060
Alabama;29-2056;Veterinary Technologists and Technicians;16.22;33,750
Alabama;29-2057;Ophthalmic Medical Technicians;17.64;36,690
Alabama;29-2061;Licensed Practical and Licensed Vocational Nurses;23.23;48,320
Alabama;29-2072;Medical Records Specialists;20.66;42,970
Alabama;29-2081;Opticians, Dispensing;15.80;32,870
Alabama;29-2091;Orthotists and Prosthetists;42.32;88,030
Alabama;29-2092;Hearing Aid Specialists;36.17;75,230
Alabama;29-2099;Health Technologists and Technicians, All Other;21.34;44,390
Alabama;29-9021;Health Information Technologists and Medical Registrars;25.48;53,000
Alabama;29-9091;Athletic Trainers;*;53,590
Alabama;29-9093;Surgical Assistants;18.81;39,120
Alabama;29-9099;Healthcare Practitioners and Technical Workers, All Other;29.32;60,980
Alabama;31-0000;Healthcare Support Occupations;15.25;31,730
Alabama;31-1120;Home Health and Personal Care Aides;11.87;24,690
Alabama;31-1131;Nursing Assistants;15.04;31,280
Alabama;31-1132;Orderlies;14.52;30,210
Alabama;31-1133;Psychiatric Aides;14.64;30,450
Alabama;31-2011;Occupational Therapy Assistants;30.57;63,590
Alabama;31-2021;Physical Therapist Assistants;28.60;59,480
Alabama;31-2022;Physical Therapist Aides;12.58;26,160
Alabama;31-9011;Massage Therapists;22.53;46,870
Alabama;31-9091;Dental Assistants;18.00;37,440
Alabama;31-9092;Medical Assistants;16.42;34,160
Alabama;31-9093;Medical Equipment Preparers;16.30;33,910
Alabama;31-9094;Medical Transcriptionists;19.27;40,090
Alabama;31-9095;Pharmacy Aides;17.05;35,470
Alabama;31-9096;Veterinary Assistants and Laboratory Animal Caretakers;13.91;28,930
Alabama;31-9097;Phlebotomists;17.28;35,940
Alabama;31-9099;Healthcare Support Workers, All Other;21.12;43,930
Alabama;33-0000;Protective Service Occupations;21.62;44,980
Alabama;33-1011;First-Line Supervisors of Correctional Officers;33.92;70,560
Alabama;33-1012;First-Line Supervisors of Police and Detectives;38.16;79,370
Alabama;33-1021;First-Line Supervisors of Firefighting and Prevention Workers;34.19;71,120
Alabama;33-1091;First-Line Supervisors of Security Workers;27.51;57,220
Alabama;33-1099;First-Line Supervisors of Protective Service Workers, All Other;30.22;62,860
Alabama;33-2011;Firefighters;21.95;45,650
Alabama;33-2021;Fire Inspectors and Investigators;26.42;54,950
Alabama;33-2022;Forest Fire Inspectors and Prevention Specialists;17.56;36,520
Alabama;33-3011;Bailiffs;17.27;35,920
Alabama;33-3012;Correctional Officers and Jailers;21.37;44,450
Alabama;33-3021;Detectives and Criminal Investigators;37.02;76,990
Alabama;33-3031;Fish and Game Wardens;29.20;60,740
Alabama;33-3041;Parking Enforcement Workers;19.07;39,670
Alabama;33-3051;Police and Sheriff's Patrol Officers;25.13;52,270
Alabama;33-9011;Animal Control Workers;17.68;36,770
Alabama;33-9021;Private Detectives and Investigators;25.57;53,190
Alabama;33-9031;Gambling Surveillance Officers and Gambling Investigators;20.70;43,060
Alabama;33-9032;Security Guards;15.14;31,490
Alabama;33-9091;Crossing Guards and Flaggers;14.20;29,530
Alabama;33-9092;Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers;11.36;23,620
Alabama;33-9093;Transportation Security Screeners;23.68;49,260
Alabama;33-9094;School Bus Monitors;14.36;29,870
Alabama;35-0000;Food Preparation and Serving Related Occupations;12.92;26,880
Alabama;35-1011;Chefs and Head Cooks;30.92;64,310
Alabama;35-1012;First-Line Supervisors of Food Preparation and Serving Workers;18.06;37,570
Alabama;35-2011;Cooks, Fast Food;12.38;25,750
Alabama;35-2012;Cooks, Institution and Cafeteria;12.51;26,010
Alabama;35-2014;Cooks, Restaurant;14.45;30,060
Alabama;35-2015;Cooks, Short Order;13.75;28,590
Alabama;35-2019;Cooks, All Other;15.79;32,850
Alabama;35-2021;Food Preparation Workers;12.41;25,810
Alabama;35-3011;Bartenders;12.75;26,520
Alabama;35-3023;Fast Food and Counter Workers;11.74;24,420
Alabama;35-3031;Waiters and Waitresses;10.91;22,690
Alabama;35-3041;Food Servers, Nonrestaurant;12.67;26,350
Alabama;35-9011;Dining Room and Cafeteria Attendants and Bartender Helpers;11.23;23,360
Alabama;35-9021;Dishwashers;11.97;24,900
Alabama;35-9031;Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop;11.12;23,130
Alabama;35-9099;Food Preparation and Serving Related Workers, All Other;*;*
Alabama;37-0000;Building and Grounds Cleaning and Maintenance Occupations;15.28;31,790
Alabama;37-1011;First-Line Supervisors of Housekeeping and Janitorial Workers;21.47;44,650
Alabama;37-1012;First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers;25.69;53,440
Alabama;37-2011;Janitors and Cleaners, Except Maids and Housekeeping Cleaners;13.75;28,600
Alabama;37-2012;Maids and Housekeeping Cleaners;12.38;25,740
Alabama;37-2021;Pest Control Workers;20.48;42,600
Alabama;37-3011;Landscaping and Groundskeeping Workers;16.34;33,990
Alabama;37-3012;Pesticide Handlers, Sprayers, and Applicators, Vegetation;19.71;41,000
Alabama;37-3013;Tree Trimmers and Pruners;20.89;43,460
Alabama;39-0000;Personal Care and Service Occupations;14.72;30,620
Alabama;39-1013;First-Line Supervisors of Gambling Services Workers;28.34;58,950
Alabama;39-1014;First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services;21.46;44,630
Alabama;39-1022;First-Line Supervisors of Personal Service Workers;20.61;42,870
Alabama;39-2011;Animal Trainers;22.09;45,950
Alabama;39-2021;Animal Caretakers;13.30;27,650
Alabama;39-3019;Gambling Service Workers, All Other;13.48;28,030
Alabama;39-3031;Ushers, Lobby Attendants, and Ticket Takers;11.87;24,680
Alabama;39-3091;Amusement and Recreation Attendants;11.44;23,800
Alabama;39-3093;Locker Room, Coatroom, and Dressing Room Attendants;12.20;25,380
Alabama;39-4011;Embalmers;28.60;59,490
Alabama;39-4012;Crematory Operators;18.08;37,600
Alabama;39-4021;Funeral Attendants;15.45;32,130
Alabama;39-4031;Morticians, Undertakers, and Funeral Arrangers;22.57;46,950
Alabama;39-5011;Barbers;12.87;26,770
Alabama;39-5012;Hairdressers, Hairstylists, and Cosmetologists;16.99;35,340
Alabama;39-5092;Manicurists and Pedicurists;16.00;33,270
Alabama;39-5093;Shampooers;11.56;24,040
Alabama;39-5094;Skincare Specialists;16.94;35,240
Alabama;39-6011;Baggage Porters and Bellhops;13.68;28,450
Alabama;39-6012;Concierges;15.33;31,880
Alabama;39-7010;Tour and Travel Guides;17.28;35,940
Alabama;39-9011;Childcare Workers;11.43;23,770
Alabama;39-9031;Exercise Trainers and Group Fitness Instructors;19.28;40,100
Alabama;39-9032;Recreation Workers;14.59;30,360
Alabama;39-9041;Residential Advisors;13.92;28,950
Alabama;39-9099;Personal Care and Service Workers, All Other;10.67;22,190
Alabama;41-0000;Sales and Related Occupations;20.75;43,150
Alabama;41-1011;First-Line Supervisors of Retail Sales Workers;23.25;48,360
Alabama;41-1012;First-Line Supervisors of Non-Retail Sales Workers;34.58;71,930
Alabama;41-2011;Cashiers;12.09;25,140
Alabama;41-2021;Counter and Rental Clerks;15.58;32,410
Alabama;41-2022;Parts Salespersons;16.82;34,980
Alabama;41-2031;Retail Salespersons;15.24;31,690
Alabama;41-3011;Advertising Sales Agents;25.56;53,160
Alabama;41-3021;Insurance Sales Agents;40.36;83,940
Alabama;41-3031;Securities, Commodities, and Financial Services Sales Agents;36.63;76,190
Alabama;41-3041;Travel Agents;23.34;48,540
Alabama;41-3091;Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel;33.49;69,650
Alabama;41-4011;Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;*;*
Alabama;41-4012;Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;36.27;75,430
Alabama;41-9011;Demonstrators and Product Promoters;17.54;36,480
Alabama;41-9021;Real Estate Brokers;36.25;75,390
Alabama;41-9022;Real Estate Sales Agents;27.18;56,520
Alabama;41-9031;Sales Engineers;60.71;126,270
Alabama;41-9041;Telemarketers;15.44;32,110
Alabama;41-9099;Sales and Related Workers, All Other;23.60;49,090
Alabama;43-0000;Office and Administrative Support Occupations;19.66;40,890
